filename,filepath,label,writer_id,generator,generation_type,reference_used,reference_based,generation_batch,split
1-01.tif,..\processed_dataset\genuine\1.0\1-01.png,0,1.0,Human,genuine,No,0,,train
1-02.tif,..\processed_dataset\genuine\1.0\1-02.png,0,1.0,Human,genuine,No,0,,train
1-03.tif,..\processed_dataset\genuine\1.0\1-03.png,0,1.0,Human,genuine,No,0,,train
1-04.tif,..\processed_dataset\genuine\1.0\1-04.png,0,1.0,Human,genuine,No,0,,train
1-05.tif,..\processed_dataset\genuine\1.0\1-05.png,0,1.0,Human,genuine,No,0,,train
1-06.tif,..\processed_dataset\genuine\1.0\1-06.png,0,1.0,Human,genuine,No,0,,train
1-07.tif,..\processed_dataset\genuine\1.0\1-07.png,0,1.0,Human,genuine,No,0,,train
1-08.tif,..\processed_dataset\genuine\1.0\1-08.png,0,1.0,Human,genuine,No,0,,train
1-09.tif,..\processed_dataset\genuine\1.0\1-09.png,0,1.0,Human,genuine,No,0,,train
1-10.tif,..\processed_dataset\genuine\1.0\1-10.png,0,1.0,Human,genuine,No,0,,train
10-01.tif,..\processed_dataset\genuine\10.0\10-01.png,0,10.0,Human,genuine,No,0,,val
10-02.tif,..\processed_dataset\genuine\10.0\10-02.png,0,10.0,Human,genuine,No,0,,val
10-03.tif,..\processed_dataset\genuine\10.0\10-03.png,0,10.0,Human,genuine,No,0,,val
10-04.tif,..\processed_dataset\genuine\10.0\10-04.png,0,10.0,Human,genuine,No,0,,val
10-05.tif,..\processed_dataset\genuine\10.0\10-05.png,0,10.0,Human,genuine,No,0,,val
10-06.tif,..\processed_dataset\genuine\10.0\10-06.png,0,10.0,Human,genuine,No,0,,val
10-07.tif,..\processed_dataset\genuine\10.0\10-07.png,0,10.0,Human,genuine,No,0,,val
10-08.tif,..\processed_dataset\genuine\10.0\10-08.png,0,10.0,Human,genuine,No,0,,val
10-09.tif,..\processed_dataset\genuine\10.0\10-09.png,0,10.0,Human,genuine,No,0,,val
10-10.tif,..\processed_dataset\genuine\10.0\10-10.png,0,10.0,Human,genuine,No,0,,val
100-01.tif,..\processed_dataset\genuine\100.0\100-01.png,0,100.0,Human,genuine,No,0,,test
100-02.tif,..\processed_dataset\genuine\100.0\100-02.png,0,100.0,Human,genuine,No,0,,test
100-03.tif,..\processed_dataset\genuine\100.0\100-03.png,0,100.0,Human,genuine,No,0,,test
100-04.tif,..\processed_dataset\genuine\100.0\100-04.png,0,100.0,Human,genuine,No,0,,test
100-05.tif,..\processed_dataset\genuine\100.0\100-05.png,0,100.0,Human,genuine,No,0,,test
100-06.tif,..\processed_dataset\genuine\100.0\100-06.png,0,100.0,Human,genuine,No,0,,test
100-07.tif,..\processed_dataset\genuine\100.0\100-07.png,0,100.0,Human,genuine,No,0,,test
100-08.tif,..\processed_dataset\genuine\100.0\100-08.png,0,100.0,Human,genuine,No,0,,test
100-09.tif,..\processed_dataset\genuine\100.0\100-09.png,0,100.0,Human,genuine,No,0,,test
100-10.tif,..\processed_dataset\genuine\100.0\100-10.png,0,100.0,Human,genuine,No,0,,test
11-01.tif,..\processed_dataset\genuine\11.0\11-01.png,0,11.0,Human,genuine,No,0,,train
11-02.tif,..\processed_dataset\genuine\11.0\11-02.png,0,11.0,Human,genuine,No,0,,train
11-03.tif,..\processed_dataset\genuine\11.0\11-03.png,0,11.0,Human,genuine,No,0,,train
11-04.tif,..\processed_dataset\genuine\11.0\11-04.png,0,11.0,Human,genuine,No,0,,train
11-05.tif,..\processed_dataset\genuine\11.0\11-05.png,0,11.0,Human,genuine,No,0,,train
11-06.tif,..\processed_dataset\genuine\11.0\11-06.png,0,11.0,Human,genuine,No,0,,train
11-07.tif,..\processed_dataset\genuine\11.0\11-07.png,0,11.0,Human,genuine,No,0,,train
11-08.tif,..\processed_dataset\genuine\11.0\11-08.png,0,11.0,Human,genuine,No,0,,train
11-09.tif,..\processed_dataset\genuine\11.0\11-09.png,0,11.0,Human,genuine,No,0,,train
11-10.tif,..\processed_dataset\genuine\11.0\11-10.png,0,11.0,Human,genuine,No,0,,train
12-01.tif,..\processed_dataset\genuine\12.0\12-01.png,0,12.0,Human,genuine,No,0,,train
12-02.tif,..\processed_dataset\genuine\12.0\12-02.png,0,12.0,Human,genuine,No,0,,train
12-03.tif,..\processed_dataset\genuine\12.0\12-03.png,0,12.0,Human,genuine,No,0,,train
12-04.tif,..\processed_dataset\genuine\12.0\12-04.png,0,12.0,Human,genuine,No,0,,train
12-05.tif,..\processed_dataset\genuine\12.0\12-05.png,0,12.0,Human,genuine,No,0,,train
12-06.tif,..\processed_dataset\genuine\12.0\12-06.png,0,12.0,Human,genuine,No,0,,train
12-07.tif,..\processed_dataset\genuine\12.0\12-07.png,0,12.0,Human,genuine,No,0,,train
12-08.tif,..\processed_dataset\genuine\12.0\12-08.png,0,12.0,Human,genuine,No,0,,train
12-09.tif,..\processed_dataset\genuine\12.0\12-09.png,0,12.0,Human,genuine,No,0,,train
12-10.tif,..\processed_dataset\genuine\12.0\12-10.png,0,12.0,Human,genuine,No,0,,train
13-01.tif,..\processed_dataset\genuine\13.0\13-01.png,0,13.0,Human,genuine,No,0,,train
13-02.tif,..\processed_dataset\genuine\13.0\13-02.png,0,13.0,Human,genuine,No,0,,train
13-03.tif,..\processed_dataset\genuine\13.0\13-03.png,0,13.0,Human,genuine,No,0,,train
13-04.tif,..\processed_dataset\genuine\13.0\13-04.png,0,13.0,Human,genuine,No,0,,train
13-05.tif,..\processed_dataset\genuine\13.0\13-05.png,0,13.0,Human,genuine,No,0,,train
13-06.tif,..\processed_dataset\genuine\13.0\13-06.png,0,13.0,Human,genuine,No,0,,train
13-07.tif,..\processed_dataset\genuine\13.0\13-07.png,0,13.0,Human,genuine,No,0,,train
13-08.tif,..\processed_dataset\genuine\13.0\13-08.png,0,13.0,Human,genuine,No,0,,train
13-09.tif,..\processed_dataset\genuine\13.0\13-09.png,0,13.0,Human,genuine,No,0,,train
13-10.tif,..\processed_dataset\genuine\13.0\13-10.png,0,13.0,Human,genuine,No,0,,train
14-01.tif,..\processed_dataset\genuine\14.0\14-01.png,0,14.0,Human,genuine,No,0,,train
14-02.tif,..\processed_dataset\genuine\14.0\14-02.png,0,14.0,Human,genuine,No,0,,train
14-03.tif,..\processed_dataset\genuine\14.0\14-03.png,0,14.0,Human,genuine,No,0,,train
14-04.tif,..\processed_dataset\genuine\14.0\14-04.png,0,14.0,Human,genuine,No,0,,train
14-05.tif,..\processed_dataset\genuine\14.0\14-05.png,0,14.0,Human,genuine,No,0,,train
14-06.tif,..\processed_dataset\genuine\14.0\14-06.png,0,14.0,Human,genuine,No,0,,train
14-07.tif,..\processed_dataset\genuine\14.0\14-07.png,0,14.0,Human,genuine,No,0,,train
14-08.tif,..\processed_dataset\genuine\14.0\14-08.png,0,14.0,Human,genuine,No,0,,train
14-09.tif,..\processed_dataset\genuine\14.0\14-09.png,0,14.0,Human,genuine,No,0,,train
