filename,filepath,label,writer_id,generator,generation_type,reference_used,reference_based,generation_batch,split,width,height,mode,format,file_size_kb,bg_mean,bg_std,img_mean,img_std,exact_hash,phash
1-01.tif,..\dataset\genuine\1\1-01.tif,0,1,Human,genuine,No,0,,,1033,289,L,TIFF,291.8291015625,255.0,0.0,248.7833836341894,39.32671934247807,f0065a03f7fca1926c56ebde355fcd20,1111111111111111000011110000001110000011111111111111111111111111
1-02.tif,..\dataset\genuine\1\1-02.tif,0,1,Human,genuine,No,0,,,997,289,L,TIFF,281.6689453125,255.0,0.0,249.29700867307807,37.70595017089675,83804a511ae419100a287705c619fc37,1111111111111111000011110000001100010111111111111111111111111111
1-03.tif,..\dataset\genuine\1\1-03.tif,0,1,Human,genuine,No,0,,,1001,289,L,TIFF,282.7978515625,255.0,0.0,249.25985778926955,37.82574561243776,bc2dc720343f421d592690590e270b81,1111111111111111000011110000001110000011111111111111111111111111
1-04.tif,..\dataset\genuine\1\1-04.tif,0,1,Human,genuine,No,0,,,1032,292,L,TIFF,294.5703125,255.0,0.0,248.94114367633003,38.836820448962655,ea8ddc1d074a55c1acf0ed029ec832d3,1111111111111111101011110000001110000011110100111111111111111111
1-05.tif,..\dataset\genuine\1\1-05.tif,0,1,Human,genuine,No,0,,,997,292,L,TIFF,284.58984375,255.0,0.0,249.31005344801528,37.66378736919139,64637ede61b0235b49a102ed93d8db65,1111111111111111111111110000111100000011110000111111111111111111
1-06.tif,..\dataset\genuine\1\1-06.tif,0,1,Human,genuine,No,0,,,1001,292,L,TIFF,285.73046875,255.0,0.0,249.4296285905875,37.27486648884726,41e5a3c1cc438a81f11ce126115cd77b,1111111111111111000011110000001100000011111111111111111111111111
1-07.tif,..\dataset\genuine\1\1-07.tif,0,1,Human,genuine,No,0,,,1032,292,L,TIFF,294.5703125,255.0,0.0,249.60203289264098,36.70617881889128,fd8118d746d7e64bb697482b2eb113bc,1111111111111111000011110000001110000111111111111111111111111111
1-08.tif,..\dataset\genuine\1\1-08.tif,0,1,Human,genuine,No,0,,,998,292,L,TIFF,284.875,254.99098302687412,1.5163267594077707,249.4863871578774,37.08869569246732,b1e4c75ffb47252f20a2a92a1a31e031,1111111111111111011111110000011100000011111100111111111111111111
1-09.tif,..\dataset\genuine\1\1-09.tif,0,1,Human,genuine,No,0,,,1000,292,L,TIFF,285.4453125,255.0,0.0,249.69652397260273,36.390376873744025,4204572ef2ce06e2737e5a8bbc37766e,1111111111111111011111110000011100000111111111111111111111111111
1-10.tif,..\dataset\genuine\1\1-10.tif,0,1,Human,genuine,No,0,,,1032,292,L,TIFF,294.5703125,255.0,0.0,249.50048781459063,37.04228628205773,d04f10c9651c79277aba2bb60d8cb46e,1111111101111111000011110000011111000111111111111111111111111111
B-S-1-G-01.tif,..\dataset\genuine\1\B-S-1-G-01.tif,0,1,Human,genuine,No,0,,,1033,289,L,TIFF,291.8291015625,255.0,0.0,248.7833836341894,39.32671934247807,f0065a03f7fca1926c56ebde355fcd20,1111111111111111000011110000001110000011111111111111111111111111
