path,source,true_label,predicted_label,confidence
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/1/image_01.jpeg,Gemini,AI,Real,0.5670471787452698
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/1/image_02.jpeg,Gemini,AI,Real,0.6539543867111206
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/1/image_03.jpeg,Gemini,AI,Real,0.5480313897132874
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/1/image_04.jpeg,Gemini,AI,AI,0.5138391852378845
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/1/image_05.jpeg,Gemini,AI,Real,0.5716391801834106
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/1/image_06.jpeg,Gemini,AI,Real,0.5847941040992737
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/1/image_07.jpeg,Gemini,AI,Real,0.5082746148109436
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/1/image_08.jpeg,Gemini,AI,Real,0.571297824382782
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/1/image_09.jpeg,Gemini,AI,Real,0.726166307926178
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/10/image_01.jpeg,Gemini,AI,Real,0.5672004818916321
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/10/image_02.jpeg,Gemini,AI,Real,0.7080246806144714
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/10/image_03.jpeg,Gemini,AI,Real,0.5228952765464783
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/10/image_04.jpeg,Gemini,AI,AI,0.5503156781196594
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/10/image_05.jpeg,Gemini,AI,Real,0.5808624625205994
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/10/image_06.jpeg,Gemini,AI,AI,0.572705864906311
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/10/image_07.jpeg,Gemini,AI,Real,0.5092374682426453
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/10/image_08.jpeg,Gemini,AI,AI,0.5983271598815918
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/10/image_09.jpeg,Gemini,AI,Real,0.6488737463951111
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/11/image_01.jpeg,Gemini,AI,Real,0.9338802099227905
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/11/image_02.jpeg,Gemini,AI,Real,0.7559882998466492
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/11/image_03.jpeg,Gemini,AI,Real,0.663374125957489
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/11/image_04.jpeg,Gemini,AI,Real,0.9737957715988159
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/11/image_05.jpeg,Gemini,AI,Real,0.7105085849761963
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/11/image_06.jpeg,Gemini,AI,Real,0.8762779831886292
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/11/image_07.jpeg,Gemini,AI,Real,0.8087893128395081
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/11/image_08.jpeg,Gemini,AI,Real,0.936066746711731
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/11/image_09.jpeg,Gemini,AI,Real,0.7379525899887085
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/12/image_01.jpeg,Gemini,AI,Real,0.7116365432739258
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/12/image_02.jpeg,Gemini,AI,Real,0.5957723259925842
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/12/image_03.jpeg,Gemini,AI,Real,0.687225341796875
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/12/image_04.jpeg,Gemini,AI,Real,0.5396005511283875
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/12/image_05.jpeg,Gemini,AI,AI,0.6736748814582825
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/12/image_06.jpeg,Gemini,AI,Real,0.5581804513931274
/Users/md.minhajulislampranto/Desktop/ML_Research_project/dataset/AI/gemini/12/image_07.jpeg,Gemini,AI,Real,0.6588364839553833
